,NEname,SIG.ConflictPPS,SIG.ConflictPkg,SIG.RecvErrPPS,SIG.RecvErrPkg,SIG.RecvKB,SIG.RecvKBPS,SIG.RecvLoss,SIG.RecvLossPPS,SIG.RecvPPS,SIG.RecvPkg,SIG.SendErrPkg,SIG.SendKB,SIG.SendKBPS,SIG.SendLoss,SIG.SendLossPPS,SIG.SendPPS,SIG.SendPkg,SIG.SenderrPPS,dateTime
25,CQVOLTETAS5BZX_1-6_BOSS,0.00000,0,0.00000,0,121,0.13470,0,0.00000,2057.77778,1852000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
26,CQVOLTETAS7BZX_3-5_DRA,0.00000,0,0.00000,0,634,0.70389,0,0.00000,11262.22222,10136000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426000000
27,CQVOLTETAS7BZX_3-6_DRA,0.00000,0,0.00000,0,2430650,2700.72262,0,0.00000,2668232.22222,2401409000,0,1173952,1304.39091,0,0.00000,1500075.55556,1350068000,0.00000,20210426000000
28,CQVOLTETAS6BZX_4-5_CSCF,0.00000,0,0.00000,0,167751,186.38947,0,0.00000,510234.44444,459211000,0,171696,190.77371,0,0.00000,416988.88889,375290000,0.00000,20210426000000
29,CQVOLTETAS5BZX_3-5_DRA,0.00000,0,0.00000,0,2447350,2719.27731,0,0.00000,2688494.44444,2419645000,0,1191895,1324.32725,0,0.00000,1522092.22222,1369883000,0.00000,20210426000000
30,CQVOLTETAS7BZX_1-6_BOSS,0.00000,0,0.00000,0,5324,5.91531,0,0.00000,31486.66667,28338000,0,65253,72.50314,0,0.00000,81584.44444,73426000,0.00000,20210426001500
31,CQVOLTETAS7BZX_1-5_BOSS,0.00000,0,0.00000,0,121,0.13460,0,0.00000,2056.66667,1851000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
32,CQVOLTETAS7BZX_4-6_CSCF,0.00000,0,0.00000,0,153841,170.93459,0,0.00000,466118.88889,419507000,0,156267,173.63036,0,0.00000,381891.11111,343702000,0.00000,20210426001500
33,CQVOLTETAS5BZX_3-6_DRA,0.00000,0,0.00000,0,562,0.62479,0,0.00000,9996.66667,8997000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
34,CQVOLTETAS7BZX_4-5_CSCF,0.00000,0,0.00000,0,633,0.70333,0,0.00000,11253.33333,10128000,0,0,0.00000,0,0.00000,0.00000,0,0.00000,20210426001500
