belongToHSS,count,zhanbi
CQHSS03FE01,8,8.791208791208792
CQHSS03FE02,7,7.6923076923076925
CQHSS04FE01,9,9.89010989010989
CQHSS04FE02,8,8.791208791208792
CQHSS05FE01,8,8.791208791208792
CQHSS05FE02,13,14.285714285714285
CQHSS06FE01,4,4.395604395604396
CQHSS06FE02,8,8.791208791208792
unknown,26,28.57142857142857
